wp_user_id,level,field,average_score
1,N2,Š¿Žš,100
1,N2,•¶–@,22
133,N5,Š¿Žš,90
133,N5,Œêœb,80
133,N5,•¶–@,80
149,N3,Š¿Žš,80
149,N4,Œêœb,70
149,N4,•¶–@,80
149,N5,Œêœb,90
149,N5,•¶–@,80
150,N2,Š¿Žš,11
150,N5,Š¿Žš,90
152,N5,Š¿Žš,100
152,N5,Œêœb,80
152,N5,•¶–@,85
156,N5,Š¿Žš,100
157,N5,Œêœb,85
159,N5,Œêœb,100
169,N5,Š¿Žš,100
169,N5,Œêœb,90
169,N5,•¶–@,73.33333333
174,N5,Š¿Žš,100
174,N5,Œêœb,80
174,N5,•¶–@,63.33333333
182,N5,Œêœb,80
183,N5,Š¿Žš,100
183,N5,Œêœb,100
183,N5,•¶–@,50
187,N5,Š¿Žš,100
187,N5,Œêœb,80
188,N4,Š¿Žš,100
188,N5,Š¿Žš,100
188,N5,Œêœb,80
200,N5,Š¿Žš,100
208,N5,Š¿Žš,100
208,N5,Œêœb,86.66666667
208,N5,•¶–@,50
210,N2,Š¿Žš,90
210,N3,Š¿Žš,90
210,N5,Š¿Žš,90
210,N5,Œêœb,100
210,N5,•¶–@,30
214,N5,Š¿Žš,100
214,N5,Œêœb,80
214,N5,•¶–@,60
216,N5,Š¿Žš,100
216,N5,Œêœb,90
220,N5,•¶–@,100
223,N5,Š¿Žš,90
226,N5,Š¿Žš,90
226,N5,Œêœb,83.66666667
226,N5,•¶–@,80
227,N5,Š¿Žš,100
227,N5,Œêœb,85
227,N5,•¶–@,90
232,N5,Œêœb,90
232,N5,•¶–@,50
233,N5,•¶–@,80
239,N5,Š¿Žš,100
239,N5,•¶–@,90
242,N5,Š¿Žš,100
242,N5,•¶–@,60
247,N3,•¶–@,40
249,N5,Š¿Žš,90
249,N5,Œêœb,55
250,N2,Œêœb,75
250,N3,Œêœb,80
251,N2,Š¿Žš,56.5
251,N2,Œêœb,72
251,N2,•¶–@,48.33333333
251,N3,Š¿Žš,85
251,N3,Œêœb,68
251,N3,•¶–@,72.5
251,N4,Š¿Žš,100
251,N4,Œêœb,90
251,N4,•¶–@,85
251,N5,Š¿Žš,95
251,N5,Œêœb,77
251,N5,•¶–@,82.5
252,N2,Š¿Žš,62.5
252,N2,Œêœb,70
252,N2,•¶–@,48.33333333
252,N3,Š¿Žš,100
252,N3,Œêœb,70
252,N3,•¶–@,70
252,N4,Š¿Žš,95
252,N4,Œêœb,85
252,N4,•¶–@,83.33333333
252,N5,Š¿Žš,95
252,N5,Œêœb,95
252,N5,•¶–@,83.33333333
253,N2,Š¿Žš,90
253,N2,Œêœb,63.33333333
253,N2,•¶–@,60
253,N3,Š¿Žš,86.66666667
253,N3,Œêœb,76.66666667
253,N3,•¶–@,70
253,N4,Š¿Žš,90
253,N4,Œêœb,86.66666667
253,N4,•¶–@,86.66666667
253,N5,Š¿Žš,95
253,N5,Œêœb,90
253,N5,•¶–@,90
254,N2,Š¿Žš,70
254,N2,Œêœb,48
254,N2,•¶–@,43.85714286
254,N3,Š¿Žš,90
254,N3,Œêœb,64
254,N3,•¶–@,60
254,N4,Š¿Žš,100
254,N4,Œêœb,76.66666667
254,N4,•¶–@,80
254,N5,Š¿Žš,100
254,N5,Œêœb,85
254,N5,•¶–@,86.66666667
255,N5,Š¿Žš,80
256,N3,Š¿Žš,100
256,N5,Œêœb,80
257,N5,Š¿Žš,100
262,N3,Š¿Žš,60
262,N4,Œêœb,90
262,N4,•¶–@,85
262,N5,Š¿Žš,100
264,N4,Š¿Žš,55
264,N4,Œêœb,70
264,N4,•¶–@,50
264,N5,Š¿Žš,100
265,N4,Œêœb,60
265,N5,Œêœb,60
267,N3,Š¿Žš,95
267,N3,Œêœb,75
267,N3,•¶–@,52.5
267,N4,Š¿Žš,100
267,N4,Œêœb,70
267,N4,•¶–@,72.5
267,N5,Š¿Žš,100
267,N5,Œêœb,83.33333333
267,N5,•¶–@,83.33333333
270,N5,Š¿Žš,80
270,N5,Œêœb,80
271,N5,Š¿Žš,100
271,N5,Œêœb,75
276,N2,Œêœb,90
277,N5,•¶–@,100
280,N5,•¶–@,0
284,N5,Š¿Žš,65
284,N5,Œêœb,70
284,N5,•¶–@,80
285,N5,Š¿Žš,80
285,N5,Œêœb,70
285,N5,•¶–@,100
286,N3,Š¿Žš,30
289,N3,Š¿Žš,50
289,N5,Š¿Žš,100
292,N5,Š¿Žš,65
292,N5,•¶–@,40
293,N5,Š¿Žš,100
296,N5,Š¿Žš,100
297,N5,Š¿Žš,90
298,N5,Œêœb,100
299,N5,Š¿Žš,55
300,N5,Š¿Žš,95
301,N3,Š¿Žš,20
302,N3,Š¿Žš,50
302,N4,Œêœb,60
302,N5,Š¿Žš,75
303,N5,Š¿Žš,90
306,N3,Š¿Žš,100
307,N5,Œêœb,60
308,N5,Œêœb,60
308,N5,•¶–@,30
309,N5,Š¿Žš,100
310,N2,•¶–@,22
311,N3,Š¿Žš,100
311,N3,Œêœb,85
311,N3,•¶–@,92.5
311,N4,Š¿Žš,100
311,N4,•¶–@,95
312,N3,Š¿Žš,95
312,N3,Œêœb,62
312,N3,•¶–@,75
312,N4,Š¿Žš,84.33333333
312,N4,Œêœb,76.66666667
312,N4,•¶–@,85
312,N5,Š¿Žš,95
312,N5,Œêœb,80
312,N5,•¶–@,74
314,N3,Š¿Žš,80
314,N3,Œêœb,93.33333333
314,N3,•¶–@,55
314,N4,Š¿Žš,85
314,N4,Œêœb,60
314,N4,•¶–@,70
314,N5,Š¿Žš,85
314,N5,Œêœb,75
315,N2,Š¿Žš,100
315,N2,Œêœb,60
315,N2,•¶–@,40
315,N3,Š¿Žš,95
315,N3,Œêœb,65
315,N3,•¶–@,55
315,N4,Š¿Žš,100
315,N4,Œêœb,50
315,N4,•¶–@,70
315,N5,Š¿Žš,100
315,N5,Œêœb,90
315,N5,•¶–@,96.66666667
316,N4,Š¿Žš,76.5
316,N4,Œêœb,70
316,N4,•¶–@,82.5
317,N5,Š¿Žš,90
322,N2,Š¿Žš,100
322,N2,•¶–@,88
322,N3,Š¿Žš,60
322,N4,Š¿Žš,90
322,N5,Š¿Žš,100
323,N5,Š¿Žš,10
323,N5,Œêœb,0
325,N5,Š¿Žš,100
325,N5,Œêœb,65.66666667
325,N5,•¶–@,80
326,N5,Œêœb,80
328,N5,Š¿Žš,100
328,N5,Œêœb,71
329,N5,Œêœb,71
330,N5,Š¿Žš,80
331,N5,Š¿Žš,90
332,N5,Š¿Žš,80
333,N5,Š¿Žš,100
348,N2,•¶–@,90
348,N3,Œêœb,100
348,N5,Œêœb,100
348,N5,•¶–@,100
356,N2,Œêœb,70
356,N2,•¶–@,50
356,N3,Œêœb,100
356,N3,•¶–@,100
356,N4,Œêœb,100
356,N4,•¶–@,100
356,N5,Œêœb,80.6
356,N5,•¶–@,90
362,N2,Œêœb,90
362,N2,•¶–@,80
362,N3,Š¿Žš,90
362,N3,•¶–@,80
363,N2,Š¿Žš,100
363,N3,Š¿Žš,95
363,N3,Œêœb,80
363,N3,•¶–@,75
363,N5,Œêœb,80
363,N5,•¶–@,90
367,N5,Œêœb,70
367,N5,•¶–@,30
375,N5,•¶–@,66.66666667
376,N5,Œêœb,60
377,N5,Œêœb,30
378,N2,•¶–@,90
380,N2,•¶–@,70
382,N5,Œêœb,100
382,N5,•¶–@,90
384,N2,Œêœb,100
385,N5,Œêœb,90
386,N5,Œêœb,100
